,Product ID,Name,Manufacturer,Case/Package,Price
294-10K-RC,294-10K-RC,1W CARBON FILM RESISTOR  10K,Xicon,Axial,₹ 12.25000
Y162210K0000T0L,Y162210K0000T0L,RES 10K OHM 8W 0.01% TO220-2,Vishay Foil Resistors (Division of Vishay Precision Group),TO-220-2,"₹ 3,564.02000"
Y145310K0000T9L,Y145310K0000T9L,RES 10K OHM 0.6W 0.01% RADIAL,Vishay Foil Resistors (Division of Vishay Precision Group),Radial,"₹ 2,388.26000"
262-10K-RC,262-10K-RC,2W METAL OXIDE PWR RESISTOR  10K,Xicon,Axial,₹ 80.83000
Y000710K0000T9L,Y000710K0000T9L,RES 10K OHM 0.6W 0.01% RADIAL,Vishay Foil Resistors (Division of Vishay Precision Group),Radial,"₹ 1,944.09000"
261-10K-RC,261-10K-RC,1W METAL OXIDE PWR RESISTOR  10K,Xicon,Axial,₹ 12.25000
Y145310K0000V9L,Y145310K0000V9L,RES 10K OHM 0.6W 0.005% RADIAL,Vishay Foil Resistors (Division of Vishay Precision Group),Radial,"₹ 2,429.90000"
Y070610K0000T9L,Y070610K0000T9L,RES 10K OHM .4W .01% RADIAL,Vishay Foil Resistors (Division of Vishay Precision Group),Radial,"₹ 1,512.16000"
283-10K-RC,283-10K-RC,3W METAL OXIDE PWR RESISTOR  10K,Xicon,Axial,₹ 20.41000
Y078510K0000T9L,Y078510K0000T9L,RES 10K OHM 0.6W 0.01% RADIAL,Vishay Foil Resistors (Division of Vishay Precision Group),Radial,"₹ 1,291.70000"
MRA-0510K00FE12,MRA-0510K00FE12,RES 10K OHM 1% AXIAL,Vishay Dale,Axial,₹ 584.61000
Y407810K0000V9L,Y407810K0000V9L,RES 10K OHM .3W .005% RADIAL,Vishay Foil Resistors (Division of Vishay Precision Group),Radial,"₹ 9,505.69000"
Y107310K0000T9L,Y107310K0000T9L,RES 10K OHM 1/4W 0.01% RADIAL,Vishay Foil Resistors (Division of Vishay Precision Group),Radial,"₹ 1,737.51000"
MRS25000C1002FRP00,MRS25000C1002FRP00,RES 10K OHM 0.6W 1% AXIAL,Vishay Beyschlag/Draloric/BC Components,Axial,₹ 23.68000
WHE10KFET,WHE10KFET,RES 10K OHM 1% 5W AXIAL,Ohmite,Axial,₹ 140.44000
SM204031002JE,SM204031002JE,RES 10K OHM 5% 2W RADIAL,Ohmite,Radial,₹ 485.82000
ALSR0510K00JE12,ALSR0510K00JE12,RES 10K OHM 5W 5% AXIAL,Vishay Dale,Axial,₹ 153.50000
43F10KE,43F10KE,RES 10K OHM 1% 3W AXIAL,Ohmite,Axial,₹ 249.03000
45F10KE,45F10KE,RES 10K OHM 1% 5W AXIAL,Ohmite,Axial,₹ 253.12000
RSF2JT10K0,RSF2JT10K0,RES 10K OHM 5% 2W AXIAL,Stackpole Electronics Inc,Axial,₹ 27.76000
SBC810KJ,SBC810KJ,RES 10K OHM 5% 9W AXIAL,TE Connectivity Passive Product,Axial,₹ 178.81000
RR02J10KTB,RR02J10KTB,RES 10K OHM 5% 2W AXIAL,TE Connectivity Passive Product,Axial,₹ 31.03000
ROX7J10K,ROX7J10K,RES 10K OHM 5% 7W AXIAL,TE Connectivity Passive Product,Axial,₹ 111.04000
CFR-12JR-52-10K,CFR-12JR-52-10K,RES 10K OHM 5% 1/6W AXIAL,YAGEO,Axial,₹ 0.79625
